"GEO_ID","NAME","B27015_001E","B27015_001M","B27015_002E","B27015_002M","B27015_003E","B27015_003M","B27015_004E","B27015_004M","B27015_005E","B27015_005M","B27015_006E","B27015_006M","B27015_007E","B27015_007M","B27015_008E","B27015_008M","B27015_009E","B27015_009M","B27015_010E","B27015_010M","B27015_011E","B27015_011M","B27015_012E","B27015_012M","B27015_013E","B27015_013M","B27015_014E","B27015_014M","B27015_015E","B27015_015M","B27015_016E","B27015_016M","B27015_017E","B27015_017M","B27015_018E","B27015_018M","B27015_019E","B27015_019M","B27015_020E","B27015_020M","B27015_021E","B27015_021M","B27015_022E","B27015_022M","B27015_023E","B27015_023M","B27015_024E","B27015_024M","B27015_025E","B27015_025M","B27015_026E","B27015_026M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Under $25,000","Margin of Error!!Total!!Under $25,000","Estimate!!Total!!Under $25,000!!With health insurance coverage","Margin of Error!!Total!!Under $25,000!!With health insurance coverage","Estimate!!Total!!Under $25,000!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!Under $25,000!!With health insurance coverage!!With private health insurance","Estimate!!Total!!Under $25,000!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!Under $25,000!!With health insurance coverage!!With public coverage","Estimate!!Total!!Under $25,000!!No health insurance coverage","Margin of Error!!Total!!Under $25,000!!No health insurance coverage","Estimate!!Total!!$25,000 to $49,999","Margin of Error!!Total!!$25,000 to $49,999","Estimate!!Total!!$25,000 to $49,999!!With health insurance coverage","Margin of Error!!Total!!$25,000 to $49,999!!With health insurance coverage","Estimate!!Total!!$25,000 to $49,999!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!$25,000 to $49,999!!With health insurance coverage!!With private health insurance","Estimate!!Total!!$25,000 to $49,999!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!$25,000 to $49,999!!With health insurance coverage!!With public coverage","Estimate!!Total!!$25,000 to $49,999!!No health insurance coverage","Margin of Error!!Total!!$25,000 to $49,999!!No health insurance coverage","Estimate!!Total!!$50,000 to $74,999","Margin of Error!!Total!!$50,000 to $74,999","Estimate!!Total!!$50,000 to $74,999!!With health insurance coverage","Margin of Error!!Total!!$50,000 to $74,999!!With health insurance coverage","Estimate!!Total!!$50,000 to $74,999!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!$50,000 to $74,999!!With health insurance coverage!!With private health insurance","Estimate!!Total!!$50,000 to $74,999!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!$50,000 to $74,999!!With health insurance coverage!!With public coverage","Estimate!!Total!!$50,000 to $74,999!!No health insurance coverage","Margin of Error!!Total!!$50,000 to $74,999!!No health insurance coverage","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$75,000 to $99,999!!With health insurance coverage","Margin of Error!!Total!!$75,000 to $99,999!!With health insurance coverage","Estimate!!Total!!$75,000 to $99,999!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!$75,000 to $99,999!!With health insurance coverage!!With private health insurance","Estimate!!Total!!$75,000 to $99,999!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!$75,000 to $99,999!!With health insurance coverage!!With public coverage","Estimate!!Total!!$75,000 to $99,999!!No health insurance coverage","Margin of Error!!Total!!$75,000 to $99,999!!No health insurance coverage","Estimate!!Total!!$100,000 or more","Margin of Error!!Total!!$100,000 or more","Estimate!!Total!!$100,000 or more!!With health insurance coverage","Margin of Error!!Total!!$100,000 or more!!With health insurance coverage","Estimate!!Total!!$100,000 or more!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!$100,000 or more!!With health insurance coverage!!With private health insurance","Estimate!!Total!!$100,000 or more!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!$100,000 or more!!With health insurance coverage!!With public coverage","Estimate!!Total!!$100,000 or more!!No health insurance coverage","Margin of Error!!Total!!$100,000 or more!!No health insurance coverage"
"0400000US48","Texas","27227580","2154","4184231","27924","3071385","20974","1145471","10687","2276806","17470","1112846","13625","5691800","31236","4262094","24101","2505954","17216","2311372","17084","1429706","16666","4890988","31289","3920942","24594","3064179","21656","1322654","12628","970046","16398","3697323","28666","3161086","26718","2731611","24944","749078","10502","536237","10514","8763238","41518","8082872","44460","7530622","44121","1179012","12803","680366","13479"
"0400000US49","Utah","2995172","501","276791","6377","225250","5289","121751","3862","138262","3737","51541","2595","517052","7718","428696","6474","313725","5818","179478","4003","88356","4035","598990","9078","533629","8563","470200","7882","121649","3661","65361","2950","509520","9646","468945","8994","433196","8568","76874","3043","40575","2558","1092819","9699","1039205","10004","991561","9729","118542","3028","53614","3054"
"0400000US50","Vermont","599080","133","79346","2004","76114","2017","25251","984","64536","2057","3232","359","113172","2904","106174","2623","57630","1593","72182","2194","6998","730","115532","3006","109297","2979","77940","2431","50546","1865","6235","515","97339","3101","93704","3036","78440","2658","28181","1544","3635","458","193691","3576","189267","3586","170655","3525","39191","1430","4424","498"
"0400000US51","Virginia","8092283","2115","956501","11227","795308","9282","369005","5547","568175","8150","161193","4726","1333546","14362","1124586","11946","779696","8827","565709","7795","208960","6751","1307097","11312","1163048","10054","983325","9505","366820","5836","144049","4193","1110428","10574","1022781","9858","925103","9755","235158","4507","87647","3669","3384711","19642","3240150","20523","3087160","20493","489255","5986","144561","4975"
"0400000US54","West Virginia","1779993","221","381152","6223","349952","5551","107033","2697","299507","4924","31200","1604","432291","6428","396606","5932","232853","4007","257369","4879","35685","1664","349011","6609","325445","6303","251147","5081","135831","3772","23566","1522","234147","6282","221246","5940","192931","4987","60344","2756","12901","1131","383392","6401","370875","6444","339668","6327","73484","2467","12517","1077"
"0400000US53","Washington","7116286","1428","784020","8479","702640","7919","270512","4851","549398","7457","81380","2886","1221017","11260","1089554","10305","625346","6869","675230","7644","131463","3402","1242650","11996","1135000","11145","845722","9959","485188","6900","107650","4123","1043152","11653","978335","11204","823945","10796","289743","4878","64817","2873","2825447","14485","2727843","14193","2511739","15097","471283","7276","97604","3451"
"0400000US55","Wisconsin","5628866","335","744857","7505","675726","7300","289567","4452","520489","6433","69131","2466","1122707","10299","1020104","9087","665992","6767","577209","6825","102603","3045","1079231","10297","1007096","9851","828999","9548","342787","4737","72135","2598","898455","9331","861706","9056","780798","8025","177243","3534","36749","1514","1783616","10666","1738588","11399","1650556","11296","218290","3712","45028","2320"
"0400000US56","Wyoming","565415","367","69875","2758","57233","2464","31600","1740","37557","1726","12642","1055","107561","3300","90258","3035","64738","2673","44548","1767","17303","1278","106094","3162","91766","2865","76526","2578","29184","1451","14328","1399","92478","3997","83594","3475","76734","3427","17026","1155","8884","1267","189407","3962","178604","3730","169088","3609","25608","1458","10803","1252"
"0400000US72","Puerto Rico","3348168","294","1682720","10502","1583611","10809","263582","4779","1410141","10430","99109","3236","890195","9916","820446","8815","447495","5821","445547","6888","69749","2842","412789","8013","387921","7775","289951","6760","133180","4187","24868","1803","169964","6663","162364","6519","135425","5666","40680","2585","7600","971","192500","5620","184616","5659","162108","5115","38504","2022","7884","913"
"0400000US01","Alabama","4735156","731","975396","11085","803733","8983","321770","5152","610920","7667","171663","4458","1080156","12589","936314","10613","615703","8026","503032","6903","143842","4913","870205","11158","794623","11107","649228","9726","285043","5308","75582","2800","630912","10120","592024","9011","528808","8209","144457","3708","38888","2831","1178487","11256","1137110","11184","1069503","11208","194241","3891","41377","2527"
"0400000US02","Alaska","699347","726","65344","2037","51280","1986","16630","1139","41120","1775","14064","764","102035","3026","82984","2697","43868","2009","50768","1975","19051","1169","120203","4165","98852","3683","69698","2827","43854","2551","21351","1504","103570","4097","88090","3574","74670","3275","25999","1367","15480","1421","308195","4727","278184","4807","253245","4457","56928","2196","30011","1834"
